Postal Code,Place Name,State,State Abbreviation,County,Latitude,Longitude
60128,Ancona,Marche,MH,Ancona,43.6333,13.5
60129,Pietralacroce,Marche,MH,Ancona,43.6333,13.5
60131,Ancona,Marche,MH,Ancona,43.6333,13.5
63100,Piagge Di Ascoli Piceno,Marche,MH,Ascoli Piceno,42.8396,13.5766
62100,Macerata,Marche,MH,Macerata,43.3007,13.4563
61100,San Pietro In Calibano,Marche,MH,Pesaro E Urbino,43.8917,12.8875
86100,Campobasso,Molise,ML,Campobasso,41.5601,14.6648
86170,Castelromano,Molise,ML,Isernia,41.6206,14.1977
15100,Alessandria,Piemonte,PM,Alessandria,44.9132,8.617
14100,Valgera,Piemonte,PM,Asti,44.9254,8.2172
12100,Cuneo,Piemonte,PM,Cuneo,44.3888,7.5471
28100,Agognate,Piemonte,PM,Novara,45.4705,8.5875
10100,Torino,Piemonte,PM,Torino,45.05,7.6667
10121,Torino,Piemonte,PM,Torino,45.05,7.6667
10122,Torino,Piemonte,PM,Torino,45.05,7.6667
10123,Torino,Piemonte,PM,Torino,45.05,7.6667
10124,Torino,Piemonte,PM,Torino,45.05,7.6667
10125,Torino,Piemonte,PM,Torino,45.05,7.6667
10126,Torino,Piemonte,PM,Torino,45.05,7.6667
10127,Torino,Piemonte,PM,Torino,45.05,7.6667
10128,Torino,Piemonte,PM,Torino,45.05,7.6667
10129,Torino,Piemonte,PM,Torino,45.05,7.6667
10131,Torino,Piemonte,PM,Torino,45.05,7.6667
10132,Torino,Piemonte,PM,Torino,45.05,7.6667
10133,Cavoretto,Piemonte,PM,Torino,45.05,7.6667
10134,Torino,Piemonte,PM,Torino,45.05,7.6667
10135,Torino,Piemonte,PM,Torino,45.05,7.6667
10136,Torino,Piemonte,PM,Torino,45.05,7.6667
10137,Torino,Piemonte,PM,Torino,45.05,7.6667
10138,Torino,Piemonte,PM,Torino,45.0706,7.6867
10139,Torino,Piemonte,PM,Torino,45.05,7.6667
10141,Torino,Piemonte,PM,Torino,45.05,7.6667
10142,Torino,Piemonte,PM,Torino,45.05,7.6667
10143,Torino,Piemonte,PM,Torino,45.05,7.6667
10144,Torino,Piemonte,PM,Torino,45.05,7.6667
10145,Torino,Piemonte,PM,Torino,45.05,7.6667
10146,Torino,Piemonte,PM,Torino,45.05,7.6667
10147,Torino,Piemonte,PM,Torino,45.05,7.6667
10148,Torino,Piemonte,PM,Torino,45.05,7.6667
10149,Torino,Piemonte,PM,Torino,45.05,7.6667
10151,Torino,Piemonte,PM,Torino,45.05,7.6667
10152,Torino,Piemonte,PM,Torino,45.05,7.6667
10153,Torino,Piemonte,PM,Torino,45.05,7.6667
10154,Torino,Piemonte,PM,Torino,45.05,7.6667
10155,Torino,Piemonte,PM,Torino,45.05,7.6667
10156,Falchera,Piemonte,PM,Torino,45.1167,7.7
13100,Cappuccini,Piemonte,PM,Vercelli,45.3074,8.4456
70100,Bari,Puglia,PU,Bari,41.1333,16.85
70121,Bari,Puglia,PU,Bari,41.1333,16.85
70122,Bari,Puglia,PU,Bari,41.1333,16.85
70123,Fesca,Puglia,PU,Bari,40.8031,17.0389
70124,Bari,Puglia,PU,Bari,41.1333,16.85
70125,Carrassi,Puglia,PU,Bari,41.1069,16.8717
70126,Japigia,Puglia,PU,Bari,41.1131,16.8926
70127,Santo Spirito,Puglia,PU,Bari,41.1627,16.749
70128,Palese,Puglia,PU,Bari,41.15,16.7666
70129,Loseto,Puglia,PU,Bari,41.0394,16.8474
70131,Carbonara Di Bari,Puglia,PU,Bari,41.0746,16.87
72100,Brindisi,Puglia,PU,Brindisi,40.6362,17.939
71100,Foggia,Puglia,PU,Foggia,41.4623,15.5447
73100,San Cataldo,Puglia,PU,Lecce,40.3903,18.302
