Postal Codes,Place Name,State,Latitude,Longitude
50214,Dunumadalawa,AD,7.8,80.0833
50220,Pahala Maragahawe,AD,8.0667,80.6833
50222,Horiwila,AD,8.0667,80.6833
50224,Gemunupura,AD,8.0667,80.6833
50226,Kalaoya,AD,8.0667,80.6833
50230,Talawa,AD,8.2167,80.35
50232,Karagahawewa,AD,8.2333,80.3167
50236,Malwanagama,AD,8.225,80.3333
50240,Tambuttegama,AD,8.15,80.3
50242,Telhiriyawa,AD,8.15,80.3333
50244,Pahalagama,AD,8.2,80.2833
50246,Rajanganaya,AD,8.1708,80.2833
50248,Angamuwa,AD,8.1833,80.2167
50259,Kiralogama,AD,8.1833,80.3667
50260,Eppawala,AD,8.1167,80.7333
50261,Katiyawa,AD,7.6167,80.55
50262,lhala Halmillewa,AD,7.8667,80.6417
50270,Mahailluppallama,AD,8.106,80.3619
50280,lpologama,AD,8.0833,80.4667
50282,Kagama,AD,8.0833,80.4667
50284,Senapura,AD,8.0833,80.4667
50288,Kalakarambewa,AD,8.0833,80.4667
50300,Mihintale,AD,8.35,80.5
50304,lhalagama,AD,8.35,80.5
50306,Mahakanadarawa,AD,8.35,80.5
50308,Maradankalla,AD,8.35,80.5
50320,Kahatagasdigiliya,AD,8.4167,80.6833
50324,Mulkiriyawa,AD,8.4167,80.6833
50326,Parakumpura,AD,8.4167,80.6833
50327,Mahapothana,AD,8.4167,80.6833
50334,Megodawewa,AD,8.2333,80.7333
50338,Padikaramaduwa,AD,8.2333,80.7333
50339,Namalpura,AD,8.2333,80.7333
50344,Muriyakadawala,AD,8.2333,80.65
50349,Morakewa,AD,8.5,80.7833
50350,Horawpatana,AD,8.4333,80.8667
50354,Parangiyawadiya,AD,8.4833,80.8667
50356,Dematawewa,AD,8.3833,80.8667
50358,Welimuwapotana,AD,8.4333,80.8667
50370,Kapugallawa,AD,8.4233,80.6783
50380,Seeppukulama,AD,8.4,80.6333
50382,Upuldeniya,AD,8.4,80.6333
50384,Mailagaswewa,AD,8.4,80.6333
50386,Rampathwila,AD,8.4,80.6333
50390,Galenbindunuwewa,AD,8.5833,80.55
50392,Getalawa,AD,8.6167,80.5333
50393,Dutuwewa,AD,8.65,80.5167
50394,Hurulunikawewa,AD,8.6167,80.5333
50448,Pandukabayapura,AD,8.4625,80.5417
50450,Rambewa,AD,8.4333,80.5
50452,Kendewa,AD,8.4833,80.6
50454,Kallanchiya,AD,8.45,80.55
50492,Wahamalgollewa,AD,8.4833,80.5167
50500,Kebithigollewa,AD,8.5333,80.4833
50506,Punewa,AD,8.6167,80.4667
