Postal Code,Place Name,State,County,City,Latitude,Longitude
2294,Engelhartstetten,Niederösterreich,Politischer Bezirk Gänserndorf,Engelhartstetten,48.1667,16.8833
2295,Weiden an der March,Niederösterreich,Politischer Bezirk Gänserndorf,Weiden an der March,48.3189,16.8453
2301,Andlersdorf,Niederösterreich,Politischer Bezirk Gänserndorf,Andlersdorf,48.1833,16.6667
2304,Orth an der Donau,Niederösterreich,Politischer Bezirk Gänserndorf,Orth an der Donau,48.1452,16.7009
2305,Eckartsau,Niederösterreich,Politischer Bezirk Gänserndorf,Eckartsau,48.1451,16.7974
2320,Mannswörth,Niederösterreich,Politischer Bezirk Wien Umgebung,Schwechat,48.15,16.5167
2322,Zwölfaxing,Niederösterreich,Politischer Bezirk Wien Umgebung,Zwölfaxing,48.1099,16.4627
2325,Himberg,Niederösterreich,Politischer Bezirk Wien Umgebung,Himberg,48.0644,16.448
2326,Maria-Lanzendorf,Niederösterreich,Politischer Bezirk Wien Umgebung,Maria-Lanzendorf,48.0992,16.4198
2331,Vösendorf,Niederösterreich,Politischer Bezirk Mödling,Vösendorf,48.1211,16.3404
2332,Hennersdorf,Niederösterreich,Politischer Bezirk Mödling,Hennersdorf,48.1117,16.3631
2333,Leopoldsdorf,Niederösterreich,Politischer Bezirk Wien Umgebung,Leopoldsdorf,48.1079,16.3985
2334,Wiener Neudorf,Niederösterreich,Politischer Bezirk Mödling,Wiener Neudorf,48.0828,16.3138
2340,Mödling,Niederösterreich,Politischer Bezirk Mödling,Mödling,48.086,16.2892
2344,Maria Enzersdorf,Niederösterreich,Politischer Bezirk Mödling,Maria Enzersdorf,48.1,16.2833
2345,Brunn am Gebirge,Niederösterreich,Politischer Bezirk Mödling,Brunn am Gebirge,48.107,16.2847
2351,Wiener Neudorf,Niederösterreich,Politischer Bezirk Mödling,Wiener Neudorf,48.0828,16.3138
2352,Gumpoldskirchen,Niederösterreich,Politischer Bezirk Mödling,Gumpoldskirchen,48.0454,16.2771
2353,Gumpoldskirchen,Niederösterreich,Politischer Bezirk Mödling,Gumpoldskirchen,48.0454,16.2771
2361,Laxenburg,Niederösterreich,Politischer Bezirk Mödling,Laxenburg,48.0683,16.3561
2362,Biedermannsdorf,Niederösterreich,Politischer Bezirk Mödling,Biedermannsdorf,48.0839,16.3454
2371,Hinterbrühl,Niederösterreich,Politischer Bezirk Mödling,Hinterbrühl,48.0861,16.2481
2372,Gießhübl,Niederösterreich,Politischer Bezirk Mödling,Gießhübl,48.0978,16.2348
2380,Perchtoldsdorf,Niederösterreich,Politischer Bezirk Mödling,Perchtoldsdorf,48.1194,16.2661
2381,Laab im Walde,Niederösterreich,Politischer Bezirk Mödling,Laab im Walde,48.1549,16.1736
2384,Breitenfurt bei Wien,Niederösterreich,Politischer Bezirk Mödling,Breitenfurt bei Wien,48.1333,16.15
2391,Kaltenleutgeben,Niederösterreich,Politischer Bezirk Mödling,Kaltenleutgeben,48.1165,16.1996
2392,Dornbach,Niederösterreich,Politischer Bezirk Mödling,Wienerwald,48.0975,16.1072
2393,Wienerwald,Niederösterreich,Politischer Bezirk Mödling,Wienerwald,48.1004,16.1375
2401,Fischamend,Niederösterreich,Politischer Bezirk Wien Umgebung,Fischamend,48.1178,16.6064
2402,Haslau-Maria Ellend,Niederösterreich,Politischer Bezirk Bruck an der Leitha,Haslau-Maria Ellend,48.1083,16.7
2403,Scharndorf,Niederösterreich,Politischer Bezirk Bruck an der Leitha,Scharndorf,48.0833,16.7833
2404,Petronell-Carnuntum,Niederösterreich,Politischer Bezirk Bruck an der Leitha,Petronell-Carnuntum,48.1167,16.85
2405,Bad Deutsch-Altenburg,Niederösterreich,Politischer Bezirk Bruck an der Leitha,Bad Deutsch-Altenburg,48.1342,16.9062
2410,Hainburg a.d. Donau,Niederösterreich,Politischer Bezirk Bruck an der Leitha,Hainburg a.d. Donau,48.1463,16.945
2412,Wolfsthal,Niederösterreich,Politischer Bezirk Bruck an der Leitha,Wolfsthal,48.1333,17
2413,Edelstal,Burgenland,Politischer Bezirk Neusiedl am See,Edelstal,48.1,16.9833
2421,Kittsee,Burgenland,Politischer Bezirk Neusiedl am See,Kittsee,48.0925,17.0639
2422,Pama,Burgenland,Politischer Bezirk Neusiedl am See,Pama,48.05,17.0333
