Postal Code,Place Name,State,State Abbreviation,County,City,Latitude,Longitude
8534,???? ??? / Sini rid,?????? / Burgas,BGS,???? / Ruen,???? ??? / Sini rid,42.8167,27.4333
8535,???????? / Podgorec,?????? / Burgas,BGS,???? / Ruen,???????? / Podgorec,42.8333,27.4
8536,?????? / Rudina,?????? / Burgas,BGS,???? / Ruen,?????? / Rudina,42.85,27.4333
8538,???????? / Mrezhichko,?????? / Burgas,BGS,???? / Ruen,???????? / Mrezhichko,42.8667,27.4167
8539,?????? / Rozhden,?????? / Burgas,BGS,???? / Ruen,?????? / Rozhden,42.8667,27.45
8540,???? / Ruen,?????? / Burgas,BGS,???? / Ruen,,42.8,27.2833
8541,???????????? / Preobrazhenci,?????? / Burgas,BGS,???? / Ruen,???????????? / Preobrazhenci,42.7833,27.3333
8542,???????? / Jabulchevo,?????? / Burgas,BGS,???? / Ruen,???????? / Jabulchevo,42.7833,27.25
8548,???????? / Prosenik,?????? / Burgas,BGS,???? / Ruen,???????? / Prosenik,42.8,27.45
8550,?????? / Trunak,?????? / Burgas,BGS,???? / Ruen,?????? / Trunak,42.95,27.2167
8551,????? / Bilka,?????? / Burgas,BGS,???? / Ruen,????? / Bilka,42.9333,27.2333
8552,???????? / Dobromir,?????? / Burgas,BGS,???? / Ruen,???????? / Dobromir,42.95,27.3
8553,??????????? / Karavel'ovo,?????? / Burgas,BGS,???? / Ruen,??????????? / Karavel'ovo,42.9333,27.15
8554,??????? / Sokolec,?????? / Burgas,BGS,???? / Ruen,??????? / Sokolec,42.9333,27.1833
8555,????? / Struja,?????? / Burgas,BGS,???? / Ruen,????? / Struja,42.8937,27.2021
8557,?????? / Zajchar,?????? / Burgas,BGS,???? / Ruen,?????? / Zajchar,42.7833,27.1667
8558,????? / Kitka,?????? / Burgas,BGS,???? / Ruen,,42.8333,27.2
8559,???????? / Shivarovo,?????? / Burgas,BGS,???? / Ruen,???????? / Shivarovo,42.8333,27.1667
8560,??????? / Vresovo,?????? / Burgas,BGS,???? / Ruen,??????? / Vresovo,42.8167,27.2
8561,???????? / Duskotna,?????? / Burgas,BGS,???? / Ruen,???????? / Duskotna,42.8833,27.2
8562,????? / Vishna,?????? / Burgas,BGS,???? / Ruen,????? / Vishna,42.9,27.1833
8563,?????? / Dropla,?????? / Burgas,BGS,???? / Ruen,?????? / Dropla,42.9167,27.2
8564,???????? / Zaimchevo,?????? / Burgas,BGS,???? / Ruen,???????? / Zaimchevo,42.9,27.3
8565,????????? / Planinica,?????? / Burgas,BGS,???? / Ruen,????????? / Planinica,42.8833,27.15
8567,?????? / Rechica,?????? / Burgas,BGS,???? / Ruen,?????? / Rechica,42.8833,27.25
8568,????? / Snezha,?????? / Burgas,BGS,???? / Ruen,????? / Snezha,42.9,27.2667
8569,??????? / Jasenovo,?????? / Burgas,BGS,???? / Ruen,??????? / Jasenovo,42.9,27.2167
8570,???????? / Ljuljakovo,?????? / Burgas,BGS,???? / Ruen,???????? / Ljuljakovo,42.8667,27.0833
8571,???? / Djulja,?????? / Burgas,BGS,???? / Ruen,????? / Rupcha,42.9167,27.1167
8572,?????? / Zvezda,?????? / Burgas,BGS,???? / Ruen,????? / Rupcha,42.9167,27.0833
8573,?????? / Listec,?????? / Burgas,BGS,???? / Ruen,?????? / Listec,42.8667,27.1333
8574,????? / Rupcha,?????? / Burgas,BGS,???? / Ruen,????? / Rupcha,42.8833,27.1
8575,?????? / Skalak,?????? / Burgas,BGS,???? / Ruen,?????? / Skalak,42.8,27.1
8577,?????? / Cheresha,?????? / Burgas,BGS,???? / Ruen,?????? / Cheresha,42.8167,27.1333
8578,??????? / Kamenjak,?????? / Burgas,BGS,???? / Ruen,,42.8667,27.3
8579,??????? / Snjagovo,?????? / Burgas,BGS,???? / Ruen,??????? / Snjagovo,42.85,27.2833
8580,????? ?????? / Dobra poljana,?????? / Burgas,BGS,???? / Ruen,????? ?????? / Dobra poljana,42.85,27.3167
8581,?????? ?????? / Sredna makhala,?????? / Burgas,BGS,???? / Ruen,?????? ?????? / Sredna makhala,42.85,27.3167
8582,????????? / Topchijsko,?????? / Burgas,BGS,???? / Ruen,????????? / Topchijsko,42.85,27.3333
8130,??????? / Sozopol,?????? / Burgas,BGS,??????? / Sozopol,,42.4167,27.7
8131,?????????? / Ravadinovo,?????? / Burgas,BGS,??????? / Sozopol,?????????? / Ravadinovo,42.3833,27.6667
8140,???? / Atija,?????? / Burgas,BGS,??????? / Sozopol,???? / Atija,42.31,27.56
8142,?????????? / Chernomorec,?????? / Burgas,BGS,??????? / Sozopol,?????????? / Chernomorec,42.45,27.65
8148,???????? / Krushevec,?????? / Burgas,BGS,??????? / Sozopol,???????? / Krushevec,42.2667,27.4833
8149,????? ??????? / Indzhe vojvoda,?????? / Burgas,BGS,??????? / Sozopol,,42.2167,27.4167
8150,????? / Rosen,?????? / Burgas,BGS,??????? / Sozopol,????? / Rosen,42.4333,27.4167
8151,????? ???? / Ravna gora,?????? / Burgas,BGS,??????? / Sozopol,????? ???? / Ravna gora,42.3667,27.55
8153,????? / Izvor,?????? / Burgas,BGS,??????? / Sozopol,????? / Izvor,42.35,27.45
8157,??????? / Vurshilo,?????? / Burgas,BGS,??????? / Sozopol,,42.25,27.3833
8160,???????? / Zidarovo,?????? / Burgas,BGS,??????? / Sozopol,???????? / Zidarovo,42.3333,27.4
8430,?????????? / Suedinenie,?????? / Burgas,BGS,?????????? / Sungurlare,?????????? / Suedinenie,42.8667,27.0333
8432,????? / Zavet,?????? / Burgas,BGS,?????????? / Sungurlare,,42.8333,27.0667
8434,?????? / Kamchija,?????? / Burgas,BGS,?????????? / Sungurlare,,42.8833,26.9667
8440,???????? / Lozarevo,?????? / Burgas,BGS,?????????? / Sungurlare,???????? / Lozarevo,42.7667,26.8833
8441,?????? / Kosten,?????? / Burgas,BGS,?????????? / Sungurlare,?????? / Kosten,42.7833,26.95
8442,?????? / Klimash,?????? / Burgas,BGS,?????????? / Sungurlare,?????? / Klimash,42.7833,26.9
8443,?????? / Vulchin,?????? / Burgas,BGS,?????????? / Sungurlare,?????? / Vulchin,42.7333,26.8833
8445,?????? / Prilep,?????? / Burgas,BGS,?????????? / Sungurlare,?????? / Prilep,42.85,26.9333
8446,????????? / Bosilkovo,?????? / Burgas,BGS,?????????? / Sungurlare,,42.8167,27
8447,??????? / Vedrovo,?????? / Burgas,BGS,?????????? / Sungurlare,,42.8333,26.9833
8448,???????? / Beronovo,?????? / Burgas,BGS,?????????? / Sungurlare,,42.8333,26.7
8449,???????? / Dubovica,?????? / Burgas,BGS,?????????? / Sungurlare,,42.8167,26.6333
8450,?????? / Podvis,?????? / Burgas,BGS,?????????? / Sungurlare,?????? / Podvis,42.8333,26.85
8453,??????? / Manolich,?????? / Burgas,BGS,?????????? / Sungurlare,??????? / Manolich,42.8667,26.8
8455,???????? / Kamensko,?????? / Burgas,BGS,?????????? / Sungurlare,??????? / Manolich,42.9167,26.8
8456,?????? / Pchelin,?????? / Burgas,BGS,?????????? / Sungurlare,,42.8833,26.7833
8457,????????? / Vezenkovo,?????? / Burgas,BGS,?????????? / Sungurlare,????????? / Vezenkovo,42.85,26.7
8458,???????? / Velislav,?????? / Burgas,BGS,?????????? / Sungurlare,,42.8667,26.7667
8459,???? / Esen,?????? / Burgas,BGS,?????????? / Sungurlare,,42.8333,26.7833
8460,???????? / Slavjanci,?????? / Burgas,BGS,?????????? / Sungurlare,???????? / Slavjanci,42.7667,26.7333
8461,????? / Chubra,?????? / Burgas,BGS,?????????? / Sungurlare,????? / Chubra,42.75,26.7
8462,????? / Skala,?????? / Burgas,BGS,?????????? / Sungurlare,???????? / Slavjanci,42.7667,26.6833
8463,?????? / Sadovo,?????? / Burgas,BGS,?????????? / Sungurlare,,42.85,26.6333
8464,??????? / Grozden,?????? / Burgas,BGS,?????????? / Sungurlare,??????? / Grozden,42.7167,26.75
8466,?????? / Lozica,?????? / Burgas,BGS,?????????? / Sungurlare,??????? / Grozden,42.7333,26.8
8468,??????? / Chernica,?????? / Burgas,BGS,?????????? / Sungurlare,??????? / Chernica,42.7667,26.8167
8469,?????? / Gorovo,?????? / Burgas,BGS,?????????? / Sungurlare,??????? / Chernica,42.7333,26.8333
8470,?????????? / Sungurlare,?????? / Burgas,BGS,?????????? / Sungurlare,,42.7667,26.7833
8471,??????????? / Balabanchevo,?????? / Burgas,BGS,?????????? / Sungurlare,,42.7833,26.7833
8145,??????? / Veselie,?????? / Burgas,BGS,????????? / Primorsko,??????? / Veselie,42.3333,27.6333
8147,???? ?????? / Jasna poljana,?????? / Burgas,BGS,????????? / Primorsko,???? ?????? / Jasna poljana,42.2833,27.6167
8152,???? ?????????? / Novo Panicharevo,?????? / Burgas,BGS,????????? / Primorsko,???? ?????????? / Novo Panicharevo,42.2833,27.55
8284,????? / Kiten,?????? / Burgas,BGS,????????? / Primorsko,????? / Kiten,42.2333,27.7833
8289,????????? / Pismenovo,?????? / Burgas,BGS,????????? / Primorsko,,42.2167,27.6833
8290,????????? / Primorsko,?????? / Burgas,BGS,????????? / Primorsko,,42.2667,27.7667
2770,?????? / Bansko,??????????? / Blagoevgrad,BLG,?????? / Bansko,,41.8394,23.5
2771,?????? / Kremen,??????????? / Blagoevgrad,BLG,?????? / Bansko,?????? / Kremen,41.75,23.65
2772,????? / Mesta,??????????? / Blagoevgrad,BLG,?????? / Bansko,????? / Mesta,41.75,23.6833
2773,?????? / Gostun,??????????? / Blagoevgrad,BLG,?????? / Bansko,,41.8,23.6833
2774,??????? / Osenovo,??????????? / Blagoevgrad,BLG,?????? / Bansko,,41.7833,23.7333
2775,???????? / Filipovo,??????????? / Blagoevgrad,BLG,?????? / Bansko,???????? / Filipovo,41.7667,23.6833
2776,?????? / Obidim,??????????? / Blagoevgrad,BLG,?????? / Bansko,,41.7833,23.65
2777,????????? / Dobrinishhe,??????????? / Blagoevgrad,BLG,?????? / Bansko,????????? / Dobrinishhe,41.8167,23.5667
2779,???????? / Dagonovo,??????????? / Blagoevgrad,BLG,?????? / Belica,???????? / Dagonovo,41.95,23.6
2780,?????? / Belica,??????????? / Blagoevgrad,BLG,?????? / Belica,,41.9569,23.5725
2781,?????? / Kraishhe,??????????? / Blagoevgrad,BLG,?????? / Belica,?????? / Kraishhe,41.9167,23.5833
2783,????????? / Zlatarica,??????????? / Blagoevgrad,BLG,?????? / Belica,,41.9,23.7167
